id	tweet	created_at	Fcount	Rcount	Glocation	country	username
536852707920052000	Let me get me and my two piece ready for today	Mon Nov 24 17:33:54 IST 2014	0	0	34.102757,-84.250785	United States	November 8th 
536852720213561000	@Monarch Algarve is a truly lovely place whole year round.& has2be the golfing capital of Europe.would love 2be there in winter teeing off	Mon Nov 24 17:33:57 IST 2014	0	0	53.715352,-1.868977	United Kingdom	Craig Brennan
536852721563759000	Disaat kau bimbangTanpa sadar kan menjadi kuatAir mata kan jadi kekuatan esok hariWoo... Woo... Woo...#ShoujotachiYo_GadisRemaja #JKT48	Mon Nov 24 17:33:57 IST 2014	0	0	-7.652157,109.047797	Indonesia	Kevin Maulana Shahab
536852725024043000	Kwajoooo punya taufiq. Apehal lah wc ada video kat moment. Tunggu kau turun training lagi. Aku rembat kepala kau guna stick cb ????	Mon Nov 24 17:33:58 IST 2014	0	0	3.413451,101.193792	Malaysia	Giroud.
536852727775908000	I beg you from the bottom of my heart: smile, be gracious to me just as you promised.(Psalm 119:57-64 MSG)	Mon Nov 24 17:33:59 IST 2014	0	0	39.578232,-86.154692	United States	Mike Wilson
536852733572432000	???@NiallOfficial: Also @ArianaGrande was absolutely insane tonight ! Her vocal ability is just unbelievable ! What a voice !??? excuse you	Mon Nov 24 17:34:00 IST 2014	0	0	39.479708,-74.516317	United States	taylor ??? 280
536852734650372000	@LEGACYfied: Iggly Azalea Beats Eminem To Win Best Rap/Hip-Hop At 2014 American Music Awards [SEE Full List] http://t.co/mjzZwsCYOK B.SHIT	Mon Nov 24 17:34:00 IST 2014	0	0	12.004,8.53334	Nigeria	Tarik 
536852735518196000	The LORD is compassionate & gracious, slow to anger, abounding in love. Psalm 103:8	Mon Nov 24 17:34:01 IST 2014	0	0	47.207207,-122.295139	United States	Earl
536852741046673000	Going for a walk round Canterbury this morning has made me realise how quant it actually is ???????	Mon Nov 24 17:34:02 IST 2014	0	0	51.283531,1.085667	United Kingdom	Amelia Freeman
536852750286733000	Today's creation - Dear @MrAPhilipson you do rock a white tee! #OurGirl. Hope you enjoy x http://t.co/0VQ3kqM3Jb	Mon Nov 24 17:34:04 IST 2014	0	0	51.210299,1.401952	United Kingdom	Mikki66
536852763964375000	Mr Lethal - La Number One (Clazzik Music): http://t.co/iv07qHQMpyDale playyyy	Mon Nov 24 17:34:07 IST 2014	0	0	6.290849,-75.558077	Colombia	daniel andres arango
536852770423587000	isso s?? me faz lembrar que n??o tem dance practice de you're so fly ???? ????	Mon Nov 24 17:34:09 IST 2014	0	0	-23.636448,-46.602273	Brasil	  lyn?????
536852771111465000	@DalaiLama: My number one commitment is to extend awareness that peace of mind depends on our cultivating inner values.	Mon Nov 24 17:34:09 IST 2014	0	0	41.294755,-96.078862	United States	SteveC
536852770892964000	??????LAN?????????SD????????????Flash Air?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????? http://t.co/jnbJJE3M7C	Mon Nov 24 17:34:09 IST 2014	0	0	35.899894,139.46554	??????	????????????
536852777436082000	Dinner with saxophone music (with Fida at @vhbali) ??? https://t.co/K03kvNr83d	Mon Nov 24 17:34:11 IST 2014	0	0	-8.71692,115.16991	Indonesia	Merryna Meyh
536852780049105000	@PapaRaddy @___Barny HAHAHAHHAHAHA yowo man ka rad oi himantayon sa ako mga expression ???????????? miss you guys ??????	Mon Nov 24 17:34:11 IST 2014	0	0	7.099504,125.626147	Republic of the Philippines	Don Jozor
536852783140700000	Folk,indie and old school rock & roll make a beautiful sound	Mon Nov 24 17:34:12 IST 2014	0	0	39.727903,-75.673252	United States	jon_crook 
536852797317054000	Satu jam menuju pengumuman nominasi @PialaCitra2014. Penasaran banget siapa dan film apa saja yang akan berjaya di #FFI2014.	Mon Nov 24 17:34:15 IST 2014	0	0	-7.74185,110.391321	Indonesia	Taufiqur Rizal
536852801175822000	#7. Glory And Gore by Lorde. Another song from Lorde dari album Pure Heroine nya. Unique n catchy song.	Mon Nov 24 17:34:16 IST 2014	0	0	-7.305548,112.780862	Indonesia	???????????????
536852803574956000	Latian (with Robby, Iik, and 2 others at Wastu Music Studio) ??? https://t.co/0FNfNVQ1KB	Mon Nov 24 17:34:17 IST 2014	0	0	-6.1749,106.63116	Indonesia	AffanBM
536852811573502000	Got to see @thedannyfinn at the concert last night ?????????? #blackmasstour @ Best Buy Theater http://t.co/wbPnRMk0zs	Mon Nov 24 17:34:19 IST 2014	0	0	40.757504,-73.985435	United States	Caitlin 
536852811427099000	No need to stress over a rebound. my team got the rock ... Lmfaoo	Mon Nov 24 17:34:19 IST 2014	0	0	40.740927,-74.210477	United States	Youngin
536852816061825000	Will watch Big Hero 6. ???? #vscocam #bighero6 @ SM City Clark http://t.co/TNQaRCmcfh	Mon Nov 24 17:34:20 IST 2014	0	0	15.169338,120.580111	Republic of the Philippines	J??PS S??LV??DOR ????
536852826488844000	Music: Xdee (@xdeeshobande) Somebody ft. LayLow @LayLowonline & Tunde Ednut @TundeEdnut http://t.co/kMAVtcm7j3#SOMEBODYbyXDEE_Laylow_Ednut	Mon Nov 24 17:34:22 IST 2014	0	0	7.633419,4.773457	Nigeria	Oga Ade???
536852829651337000	Noooon, pas Carol ????	Mon Nov 24 17:34:23 IST 2014	0	0	49.07921,2.311516	France	SHADY XV
536852842263622000	"@iamporgy: ???????????????????????? @masaku_: Please cram this chorus, it might save your life http://t.co/3svtRowq8n""""hahahahaa!!"	Mon Nov 24 17:34:26 IST 2014	0	0	-1.283047,36.894204	Kenya	Mama Janelle 
536852846398825000	@AKA_Qthulhu oh no, I'm not even going to press play on that video.	Mon Nov 24 17:34:27 IST 2014	0	0	-37.610687,145.133954	Australia	Erin
536852853458231000	Si une fille dit que t'es moche, elle est jalouse. Si un mec dit que t'es moche, il est m??chant. Si un enfant dit que t'es moche, t'es moche	Mon Nov 24 17:34:29 IST 2014	0	0	48.882449,2.356078	France	pierre
536852863280898000	21 will always be my favorite number! ???	Mon Nov 24 17:34:31 IST 2014	0	0	18.292267,120.592049	Republic of the Philippines	YOO???
536852869849567000	With toto G and cheche #MadagascarIn3D #Penguins @ Cinema 6 - Robinsons Galleria Movieworld http://t.co/2QUypAOadb	Mon Nov 24 17:34:33 IST 2014	0	0	14.591539,121.058765	Republic of the Philippines	Kristine June Celiz
536852872504562000	Keep getting funny looks carrying my flowers round - sorry that my @jack_pitchford is amazing and you're unloved ????????????	Mon Nov 24 17:34:33 IST 2014	0	0	53.421505,-1.274709	United Kingdom	Jessica-Leigh
536852879664235000	I'm at ???????????????????????? | Phol Music https://t.co/zI5gFO0aVV	Mon Nov 24 17:34:35 IST 2014	0	0	18.78196,99.003075	???????????????????????????	Samper
536852906738078000	@yaiyanooghaa: where cn I get ur phone number bitch . sigh . reboot punya pasal AKU BOLEH MINTAKAN.	Mon Nov 24 17:34:41 IST 2014	0	0	3.169164,101.859381	Malaysia	BOYFRIEND
536852907128529000	@PixieLott HEY PIX I AM I SO MUCH AGONY TODAY IM LYING ON MY LIVINGROOM FLOOR LISTENING TO PLATINUM.PLEASE FOLLOW ME PIX IT WOULD MEAN A LOT	Mon Nov 24 17:34:41 IST 2014	0	0	51.884371,0.913536	United Kingdom	Gary Pincombe
536852909992862000	Sedih plak bila ibu emir tegur td....kesian tania jatuh air muka dia...badri pon sakit hati bila emir perli2 td...#bilahatiberbicara	Mon Nov 24 17:34:42 IST 2014	0	0	3.229404,101.53181	Malaysia	zilha
536852913365082000	"???@NyemiahSupreme: [Brand New Video] ""No Questions"" ft @KCamp427 http://t.co/1I9RK5GmZG #Nyemiahsupreme !??? ????????"	Mon Nov 24 17:34:43 IST 2014	0	0	29.951415,-95.300073	United States	J.A.M
536852919367528000	Beyonce's '7/11' video hits over 19 million views in just three days. Ya neh!	Mon Nov 24 17:34:44 IST 2014	0	0	-26.089053,28.187884	South Africa	IG:THEREALNTHATENG???
536852925394735000	Bana ordan bi small large versene (@ K??z??lay in Ankara, T??rkiye) https://t.co/YtRlH0hbsa	Mon Nov 24 17:34:46 IST 2014	0	0	39.920763,32.854099	T??rkiye	Ebry ARSLAN ????????
536852926518419000	@Luke5SOS: AMA'S Today, dance, dance, everybody look at your pants	Mon Nov 24 17:34:46 IST 2014	0	0	10.756867,121.937415	Republic of the Philippines	#JuanTon / JKUFC ???
536852926304887000	After seeing that video, I do not trust nannies anymore :( *in tears*	Mon Nov 24 17:34:46 IST 2014	0	0	-30.25549,28.79599	South Africa	??????Zintle??? MaMsiza???
536852931166085000	Big Hero 6! (@ MBO Cineplex in Subang Jaya, Selangor w/ @aaronelill) https://t.co/Z9LRv6Sb6c	Mon Nov 24 17:34:47 IST 2014	0	0	3.081987,101.586132	Malaysia	Matthew
536852935473250000	@AVElrond wkwkwk msh di sekolah gua jam segini . Cuma nunggu ujan lay	Mon Nov 24 17:34:48 IST 2014	0	0	-6.252629,106.762025	Indonesia	Satria Bisex
536852946558808000	Moh'd Rafe' - Bhibbik Ana Official Music Video | ???: http://t.co/SVMtk6OiWT	Mon Nov 24 17:34:51 IST 2014	0	0	29.343399,48.085346	???????? ????????????	B??sel B??ss??m ?????? 
536852946185888000	@wizkidayo #StarBoy waiting for 'Dance Go' video, I knw it will be magnifying	Mon Nov 24 17:34:51 IST 2014	0	0	6.59098,3.98128	Nigeria	Samson God's Power
536852952544465000	#SeniSeviyorumAdam??m @BrsKILIC filmi d??n izledm konusu evim sensinle birbirine cok benziyo senin oldugun bir film daha basar??l?? olabilirdi ????	Mon Nov 24 17:34:52 IST 2014	0	0	41.110309,29.033562	T??rkiye	fato??
536852954527986000	@Larchwag hahahahaha why would I want to go through emotional stress?? Hahaha jk jk. what song? ????	Mon Nov 24 17:34:53 IST 2014	0	0	8.468665,124.698056	Republic of the Philippines	Florence Velasco
536852953735234000	Artist at work #HoustonViaColori #Houston #downtown #art @ Houston Via Colori http://t.co/wWgQeGrxMG	Mon Nov 24 17:34:53 IST 2014	0	0	29.759413,-95.369166	United States	Amay Vikrama Singh
536852955404976000	when you listen to a song for 2 seconds and already know you love it ????	Mon Nov 24 17:34:53 IST 2014	0	0	28.812184,-80.905381	United States	Bradley??????
536852965009543000	Blake owns the most most typical country voice. Best country artist imo	Mon Nov 24 17:34:55 IST 2014	0	0	3.064411,101.785923	Malaysia	Sathes Ravindran
536852966234288000	Yayy video cayangs dah sampai hihi	Mon Nov 24 17:34:56 IST 2014	0	0	1.476364,103.956752	Malaysia	hmiza.
536852972831908000	???????? ??? Big Hero 6 (with Jennifer at Theatre 4 Cinema 21 ) ??? https://t.co/PSAwjb4j4x	Mon Nov 24 17:34:57 IST 2014	0	0	-1.5909,103.61453	Indonesia	Loretta Tjoa
536852983771071000	Ponos vam je slicno kao kad vam se piski ,a gledate neki super film i prosto ignorisete to sto vam se piski	Mon Nov 24 17:35:00 IST 2014	0	0	43.565556,22.259813	Serbia	(ne)prijatelj
536852987583267000	Ive listen to every song on my phone like 3 times already..	Mon Nov 24 17:35:01 IST 2014	0	0	45.440638,-122.766729	United States	Monique??????
536852997402145000	????????????????????FORTE COVER PRODUCTION?????????? #FORTE#song#???????????????????? @ ???????? http://t.co/d7mY2fFKRB	Mon Nov 24 17:35:03 IST 2014	0	0	58.011758,56.248264	Russia	?????????? ????????????
536853009016558000	Today's News: I look gross and my phone is a piece of poop. Stay tuned for more updates.	Mon Nov 24 17:35:06 IST 2014	0	0	39.299975,-75.626981	United States	Elizabeth King ???
536853008718758000	We dance for a reason. We create dreams. @ @ Sari Alam Ciater Hot Spring n' Resort Hotel http://t.co/bsOas98g2R	Mon Nov 24 17:35:06 IST 2014	0	0	-6.738922,107.654067	Indonesia	Cindy Reigen
536853012631658000	@HOLY_BIBLE_: The Lord is known by the judgment He executes; The wicked is snared in the work of his own hands....Psalm 9:16...#JESUS	Mon Nov 24 17:35:07 IST 2014	0	0	14.62792,121.119876	Republic of the Philippines	aeiou ??
536853013286371000	That moment you're watching hollyoaks and the song playing at the start is @Hozier and not Take me to church but Arsonists lullaby ???	Mon Nov 24 17:35:07 IST 2014	0	0	53.981766,-7.301193	Ireland	colleen ?????? 
536853022136357000	We have been drawn home to Tunbridge Wells in the 3rd round of the FA Vase on the 6th Dec.	Mon Nov 24 17:35:09 IST 2014	0	0	50.847384,-1.077175	United Kingdom	AFC Portchester
536853022979015000	Let drunken typos lay	Mon Nov 24 17:35:09 IST 2014	0	0	34.046298,-118.250107	United States	?? 
536853030868488000	@JackJackJohnson @jackgilinsky // me and my friend @Musicalsides think your new song is awesome we love it soooo much and we love you guys!!	Mon Nov 24 17:35:11 IST 2014	0	0	38.636939,-121.431117	United States	ariana espinosa
536853040490619000	Christmas decorations and music in Tesco. #Vom #TooEarly	Mon Nov 24 17:35:13 IST 2014	0	0	51.524796,-0.099866	United Kingdom	Bar Fagan
536853040431895000	Het concert van @aliyahonline was echt geweldig! Ik vond het echt leuk om je weer te zien ?????????? http://t.co/cc428Es9Xp	Mon Nov 24 17:35:13 IST 2014	0	0	52.450753,4.837441	Nederland	Donovan Hilbrink
536853041690182000	I'm at @StarbucksTr in Ankara, K??z??lay https://t.co/FrGa8I29wh	Mon Nov 24 17:35:14 IST 2014	0	0	39.918415,32.855258	T??rkiye	Do??an K??seo??lu
536853043233305000	@Woodss_63 Thank you for the follow! You rock!	Mon Nov 24 17:35:14 IST 2014	0	0	30.13836,-97.802932	United States	Carlina Brown
536853050829570000	@NewstalkFM That's nice. What a hero.  I wonder where else similar events will begin to pop up #ReleaseTheSheep	Mon Nov 24 17:35:16 IST 2014	0	0	53.296577,-8.990199	Ireland	Con Snow
536853073524957000	I prefer fresh air to girls	Mon Nov 24 17:35:21 IST 2014	0	0	50.831315,-0.13866	United Kingdom	Lewis Hamilton
536853080231641000	Get ready to listen to ShadyXV in 5th hour @alohakirsten ????	Mon Nov 24 17:35:23 IST 2014	0	0	43.434311,-84.018237	United States	Nutmeg
536853081321779000	ini loh cobain enak tau ???? (with Bagja, Dendy, and 2 others at pasti pasta (saparu jogging track)) ??? https://t.co/zLrvOzcPDp	Mon Nov 24 17:35:23 IST 2014	0	0	-6.90777,107.61603	Indonesia	dedimas
536853083116941000	#nw big hero 6	Mon Nov 24 17:35:23 IST 2014	0	0	5.939022,116.067519	Malaysia	Rose
536853085457355000	just gotta be the rock for my rock????	Mon Nov 24 17:35:24 IST 2014	0	0	39.351504,-76.479252	United States	J Millz ?????? twelve18
536853105267466000	Dance Me To The End of Love Leonard Cohen: http://t.co/WX5A61EKpZ	Mon Nov 24 17:35:29 IST 2014	0	0	42.445409,19.256164	Montenegro	Addict.
536853107095777000	This's the hero of Myanmar country http://t.co/XKpe44ssOc	Mon Nov 24 17:35:29 IST 2014	0	0	21.981739,96.110114	Myanmar	Win Aung Naing
536853128050922000	Listening to the weekend makes me either wanna sleep or have sex ????????	Mon Nov 24 17:35:34 IST 2014	0	0	38.180279,-77.763276	United States	Nicole ??????
536853130479407000	I'm glad my uber driver cares so much about Russian politics that he needs to listen to it on full volume	Mon Nov 24 17:35:35 IST 2014	0	0	38.877916,-77.310067	United States	GMUYaks
536853141258392000	#8. Royals by Lorde. Can't say a word 'bout this song. Just LOOOVEEE THIS SONG! Masih memorable ditelinga smpe skg.	Mon Nov 24 17:35:37 IST 2014	0	0	-7.305548,112.780862	Indonesia	???????????????
536853155511017000	.Shot taken at: PalermoBuenos Aires - Argentina..ARTIST: BATER133 from THG  Crew bater133??? http://t.co/8cVAyBOp9k	Mon Nov 24 17:35:41 IST 2014	0	0	-34.555339,-58.454879	Argentina	ig: @graffitibaires
536853165820629000	OMG di ko kinaya to....thank you sa video msg @jeronteng naku nwala ang gutom ko hahahaha...see you soon thank you and congrats ????	Mon Nov 24 17:35:43 IST 2014	0	0	55.631068,12.609461	Danmark	Edna Perez 
536853171243479000	MeManjakan telinga @mtbfmsurabaya #muterin Boys II Men - Iris #MTBpost with @pipit_tya vs @onienovarro happy listening	Mon Nov 24 17:35:44 IST 2014	0	0	-7.315969,112.738424	Indonesia	Ani djoyosoemidjan
536853178726101000	Listen to Drank Until We Throw Up(Prod By Q-Beats) by Q-Beats #np on #SoundCloudhttp://t.co/du6MPeXROd	Mon Nov 24 17:35:46 IST 2014	0	0	34.807676,-82.369578	United States	Quentin Wallace
536853178948796000	Andrea Faustini is such a sick singer mannnnnn	Mon Nov 24 17:35:46 IST 2014	0	0	51.529557,0.458363	United Kingdom	laura
536853179338859000	So bored I'm tempted to paint my face like a dogs and sit in the car panting for air... just to get attention from passers by...	Mon Nov 24 17:35:46 IST 2014	0	0	51.586199,-0.342292	United Kingdom	Gary Clayton
536853180613931000	???@_KTD1: ???@_PhalenEllese: This Nick Jones song is lit ???????????Jonas??? thanks ????????	Mon Nov 24 17:35:47 IST 2014	0	0	43.202159,-77.680237	United States	???
536853185613165000	Samad daw kuno tower sang smart. Gin atake guro sinyo mga troops. Hahaha	Mon Nov 24 17:35:48 IST 2014	0	0	11.589144,122.725731	Republic of the Philippines	Sam 
536853185944486000	Dah lah tak kenalkan diri masa WhatsApp jadi memang kena wrong number lah dengan aku!	Mon Nov 24 17:35:48 IST 2014	0	0	2.564482,102.724619	Malaysia	Hanaa
536853191770792000	"@Ashley_hardinKS: Pharrell's Happy"" but the music video is just footage of people eating alone at Subway."" That IS happiness tf"	Mon Nov 24 17:35:49 IST 2014	0	0	40.865472,-73.89572	United States	Roshi ???
536853195947926000	+18 Sara Tommasi xxx free porn sex video: http://t.co/EyYRTaTtU6	Mon Nov 24 17:35:50 IST 2014	0	0	31.562894,74.320814	Pakistan	Muhammad Iqbal
536853198720758000	ready bump favorite song on the way to school ????????	Mon Nov 24 17:35:51 IST 2014	0	0	37.400083,-77.643401	United States	girlaaaa . ???
536853201451237000	I prefer fresh air to most things tbh, fresh air is so good, most underrated type of air imo	Mon Nov 24 17:35:52 IST 2014	0	0	50.831315,-0.13866	United Kingdom	Lewis Hamilton
536853205406077000	#LoveRubSe# The Best hero ever. .The Best Father ever. .The Best friend ever. .The Best Saint ever....unique unique http://t.co/JtKXDwL0NE	Mon Nov 24 17:35:53 IST 2014	0	0	-33.811707,150.971753	Australia	Seema Insan
536853206870282000	Now I'm going to go home & lay there in pain.	Mon Nov 24 17:35:53 IST 2014	0	0	43.075139,-83.613721	United States	samantha 
536853207021265000	@x_siobhangr @CharAllsop @Franiebear_ hahaha! I was loving life dancing along to his music????	Mon Nov 24 17:35:53 IST 2014	0	0	53.153086,-1.173467	United Kingdom	Emma Comer
536853212217610000	#Music #Job in #Orlando, FL: INTERNSHIP/ PA; Entertainment Series (Near Universal Studi... at FIREBALL RUN http://t.co/tKJf46PLBx	Mon Nov 24 17:35:54 IST 2014	0	0	28.541666,-81.375686	United States	TMJ-ORL Music Jobs
536853221751681000	Hoy destacamos el rock chasquilla de @brocha_cuerda con #LaBrocha	Mon Nov 24 17:35:56 IST 2014	0	0	-33.434298,-70.553372	Chile	Radio Regi??n 16??
536853233839260000	i can't live without music http://t.co/mIaj6n3v4c	Mon Nov 24 17:35:59 IST 2014	0	0	14.654421,121.030671	Republic of the Philippines	ken
536853240223396000	mok mel premiere @thediaryeyes horror @ Legend Cinema- City Mall http://t.co/4a124I1fhW	Mon Nov 24 17:36:01 IST 2014	0	0	11.55818,104.909685	Cambodia	???-Lee Jaelee-???
536853256186896000	@PixieLott I SPEND MY ENTIRE LIFE IN AGONY AND ONLY FORGET IT WHEN I WATCH U DANCE.A FOLLOW WOULD MEAN EVERYTHING TO ME.U MEAN EVERYTHING	Mon Nov 24 17:36:05 IST 2014	0	0	51.884382,0.913525	United Kingdom	Gary Pincombe
536853257948521000	http://t.co/oQGpCFv5Iz amo amo amo	Mon Nov 24 17:36:05 IST 2014	0	0	41.359831,-8.748607	Portugal	Ricky 
536853259609469000	Om wakker te worden na #soniccity14 even geen bliepjeshttp://t.co/RGDLDmAh51 #nowplaying	Mon Nov 24 17:36:05 IST 2014	0	0	51.221042,4.398069	Belgi??	Miss Antropie
536853265527616000	@ThomasRhett #ACCAwards Breakthrough Artist of the Year	Mon Nov 24 17:36:07 IST 2014	0	0	44.231452,-76.530063	Canada	Angelina Rapley
536853271894565000	I don't listen to rap music because when I do I act like a slut who doesn't give a fuck about anything, and I start wanting to sell drugs.	Mon Nov 24 17:36:08 IST 2014	0	0	28.528452,-81.309824	United States	Megan Elizabeth
536853271953297000	PinkK (@ Cinema Pink in Bursa, T??rkiye) https://t.co/GOY4q6h5Ff	Mon Nov 24 17:36:08 IST 2014	0	0	40.08555,29.510496	T??rkiye	??mmet ??lvan
536853287216374000	#nowplaying Kid Rock - Mr. Rock n Roll http://t.co/YWitAo1eFO	Mon Nov 24 17:36:12 IST 2014	0	0	36.485346,-86.6745	United States	Floyd Lee
536853291456791000	Thank's for today gaesss ???????? @ Air Manik http://t.co/404Ld5pX2O	Mon Nov 24 17:36:13 IST 2014	0	0	2.94997,99.069119	Indonesia	Indriyani Stumorang???
536853292702519000	@oliviacols @claudiavining I got a D in sociology!!! But if you want me to help come round this eve and I'll help, Claud come too zxx	Mon Nov 24 17:36:13 IST 2014	0	0	51.280649,1.077301	United Kingdom	Rosie Higenbottam
536853298956214000	My son has a thing for the singer Feist.	Mon Nov 24 17:36:15 IST 2014	0	0	41.470711,-87.806384	United States	Robin Jentes
536853299354284000	Customer hero! Thank you supportive friends @kalerqueen @britzyie @kisseraah! :)) @ Infinitea Zamboanga http://t.co/JugWDl6JGo	Mon Nov 24 17:36:15 IST 2014	0	0	6.914012,122.076291	Republic of the Philippines	Ram Fernandez
536853300776169000	nak tengok big hero nak tengok mockingjay aaaa	Mon Nov 24 17:36:15 IST 2014	0	0	3.0812,101.528928	Malaysia	n
536853311849505000	The Hanging Tree is my new song to sing now	Mon Nov 24 17:36:18 IST 2014	0	0	35.434217,-80.742894	United States	Danny Rivera
536853313774305000	Gusto ko tuloy pumunta sa concert ng 1d! Lol !	Mon Nov 24 17:36:18 IST 2014	0	0	14.645259,120.96138	Republic of the Philippines	Queen Hemmings???
536853313099428000	This Nick Jonas song is lit ????????	Mon Nov 24 17:36:18 IST 2014	0	0	43.202253,-77.680213	United States	???
536853324881232000	Pat Utomi speaks on entertainment business at #neclive.  Read more at: http://t.co/NBT7PWo6CN	Mon Nov 24 17:36:21 IST 2014	0	0	6.602534,3.357915	Nigeria	BHM 
536853328467333000	#nowplaying temples 'sun restructured' #music #newmusic @Spotify @heavenlyrecs	Mon Nov 24 17:36:22 IST 2014	0	0	51.516889,-0.060101	United Kingdom	Greg Aspinall
536853332636103000	@impeeeerfection erm erm erm , tapi kalau hantar air horlics . Hahahahahahahahahahaha	Mon Nov 24 17:36:23 IST 2014	0	0	3.146528,101.733455	Malaysia	BONT
536853332602536000	@notgrant @jesusisbrown I'm pretty sure Marshawn Lynch has watched your @rocketown video. https://t.co/O4xNThHZWT	Mon Nov 24 17:36:23 IST 2014	0	0	36.083321,-86.582095	United States	Bobby Harris
536853340597273000	Prayer is when you talk to God, Meditation is when you listen to God. ???????????? -Happy Monday ppl.	Mon Nov 24 17:36:25 IST 2014	0	0	18.528964,-72.265032	Haiti	Adneika J. TROPNAS
536853344267280000	@dkneeskern drivin back to work and look at what song starts playin!! http://t.co/oU3q00UAOK	Mon Nov 24 17:36:26 IST 2014	0	0	40.510994,-83.075335	United States	trey tyree
536853348780372000	ironically, fresh air is on par with Xbox and wifi	Mon Nov 24 17:36:27 IST 2014	0	0	50.831278,-0.138823	United Kingdom	Lewis Hamilton
536853355482460000	VOX ANGELICA CHOIR in CONCERT (at GMIM Paulus TWM) ??? https://t.co/ilnNpcc9U2	Mon Nov 24 17:36:28 IST 2014	0	0	1.48185,124.83806	Indonesia	D A V I D
536853391146644000	Into alimentaire. Vomissement de sang. Le tout dans une auberge de jeunesse aller adieu	Mon Nov 24 17:36:37 IST 2014	0	0	-33.873085,151.205169	Australia	Sami Sid 
536853390039712000	#coworkingeu startet jetzt (@ Cinema S??o Jorge in Lisboa w/ @doschu) https://t.co/Dce2WQZ1W8 http://t.co/yceXmckFlz	Mon Nov 24 17:36:37 IST 2014	0	0	38.720357,-9.146056	Portugal	Harald Amelung
536853408930472000	Saka na talaga ako magpapaka fan pag tapos na concert nila dito	Mon Nov 24 17:36:41 IST 2014	0	0	14.645259,120.96138	Republic of the Philippines	Queen Hemmings???
536853409253835000	@PLEASESHOOTME yeah saw him last year shame I can't see him this time round	Mon Nov 24 17:36:41 IST 2014	0	0	51.481341,-0.25963	United Kingdom	YUNG BEAN
536853430162051000	#9. Outside bt Calvin Harris ft Ellie Goulding. Track dr album trbarunya Calvin Harris ini jadi salah satu track paling keren.	Mon Nov 24 17:36:46 IST 2014	0	0	-7.305548,112.780862	Indonesia	???????????????
536853437615714000	It's My Life by Bon Jovi is #nowplaying in Bowlplex Camberley, Camberley.  Download it now at http://t.co/ZA83rwwqnG	Mon Nov 24 17:36:48 IST 2014	0	0	51.336689,-0.748006	United Kingdom	Virtual Jukebox
536853443311182000	Air itu bagian dari rezeki, hujan termasuk didalamnya. Tapiiiiii please berenti, ini uda kelamaan??? http://t.co/x35GSbOMf4	Mon Nov 24 17:36:49 IST 2014	0	0	-6.178677,106.797719	Indonesia	Windri haninda
536853456011928000	@NiyiGiggles Pls check out the hottest video from the finest Afrobeat Artist  VALENTINE - KOLO (OFFICIAL VIDEO): http://t.co/s6iw9sIa8I	Mon Nov 24 17:36:52 IST 2014	0	0	51.465404,-0.344793	United Kingdom	Eleanor Agala
536853458738246000	@PlayforceUK hi, is there a number to call ?	Mon Nov 24 17:36:53 IST 2014	0	0	50.718425,-3.545166	United Kingdom	sarah
